wallet,normalized_score
0x49b357c9acaa84a0cb978571b642b825e964b2cc,100.0
0x389135c984febdbb310adaf23a690dc28c8fa62b,99.97474438927418
0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,99.96906164940263
0x3f3e7cd8be447aeb65c05eb6596b03e8c8627803,99.86326020257489
0x339cec7dfec9c95bae4e445e4af87de8c89313cf,99.6851490716864
0xbc0c33fff2888a499a519a641a91f9d7dd270b71,99.60482594080199
0x4758a12fb01dc7cad5741246b9e2eb59ae1ef38b,99.57221398239568
0x7db7da086318462a46327b8f2d46f457008cc111,99.55742556695277
0x0fccef1c29deddb1e2a007ee9c1edf63149aa6b3,99.42821574590148
0xbc77738aa2ede049edac45a8a9a443c5415e6b7a,99.38457730644647
0x52405eff99dd4c2015463dc511573344f2e2e8d7,99.35726811193783
0x9a550b9faca1480be496e09d62324b754da14c45,99.3322249873887
0xd03ff5274e6ff0b43cee31cafe1c40324fe5d33c,99.28437699773905
0x4846e45c101a8339be5489167f5aba5fcbf37bca,99.17723518842988
0x7185fbff199928cbae71990ecb3cc4a7be2ff00a,99.16723109516377
0x0489076a0d17394835af93cd62acff703b6814a9,99.12552039611504
0x26868de5c3ae8f03adc6a5ba231445feba8b8bab,99.08289017232705
0x6efd5dbb3e3c96c4c8bc7376aae263d1c0e7f532,98.89029785122557
0xd7fbfb25e4e9e1950d68fef0dc72ab0f09de55b3,98.84943513224572
0x83bf595cc28722b5c4f9b34dedba90778a8fcb80,98.77783277469095
0x4d25819e9de2a2eeeddca953d1ef0182680a7054,98.75104130183445
0x7c6e177d9613bbbc80557816a19a342136b24654,98.69878821595151
0x17e33637f6b64e9082ea499481b6e6ebae7eea23,98.67294598174836
0xa1932d804e85ae3b80a2a47446e98e51d65d877e,98.56611498321591
0x4bb6d52a4420492c5d90f22fa92ff80ab481d961,98.37606032089788
0x2a62253e49e0f0224a6da25fc2a15beecad8d065,98.30973669995173
0xa456da10f3cb6116110c61d0e9a150a6406d1a15,98.29751330741544
0xab61719309bf30cda379b45ac33326b24261f956,98.05473409596797
0x1b1ef65bb57862c88fb3ca5aaab8746791928485,97.99366805931832
0x99cd4625a58c27df7616fd4e5caba5803a875cfd,97.98227845181337
